Release ID,Release,Test Cycle,Test Suite,Test Run ID,Test Run,Test Case ID,Test Case,Module,Test Case Jira,Requirement IDs,Requirements,Requirement Jira
,(no release),C 26.1.5(03/12/26 - 03/25/26),UACT-1234_Config Ticket,12496515,"Process a medical claim with procedure code G0105, place of service 24 and diagnosis code C7A026 from a Surgical Facility. Facets should adjudicate the claim with Service ID DCP9-HMO POS",11504709,"Process a medical claim with procedure code G0105, place of service 24 and diagnosis code C7A026 from a Surgical Facility. Facets should adjudicate the claim with Service ID DCP9-HMO POS",Config Prod Tickets / UACT-1234_Config Ticket / Sample Folder2,,,,
,(no release),C 26.1.5(03/12/26 - 03/25/26),UACT-1234_Config Ticket,12496516,"Process a medical claim with procedure code G0105, place of service 24 and diagnosis code C7A026 from a Surgical Facility. Facets should adjudicate the claim with Service ID DCP9-HMO",11504704,"Process a medical claim with procedure code G0105, place of service 24 and diagnosis code C7A026 from a Surgical Facility. Facets should adjudicate the claim with Service ID DCP9-HMO",Config Prod Tickets / UACT-1234_Config Ticket / Sample Folder2,,,,
,(no release),C 26.1.5(03/12/26 - 03/25/26),UACT-1234_Config Ticket,12496517,"Process a facility claim with procedure code 0537U, Revenue code 0310 and any diagnosis code not listed on the BRD  Facets should adjudicate the claim with Service ID T1PV-PPO_HC",11504703,"Process a facility claim with procedure code 0537U, Revenue code 0310 and any diagnosis code not listed on the BRD  Facets should adjudicate the claim with Service ID T1PV-PPO_HC",Config Prod Tickets / UACT-1234_Config Ticket / Sample Folder2,,,,
,(no release),C 26.1.5(03/12/26 - 03/25/26),UACT-1234_Config Ticket,12496518,"Process a medical claim with procedure code 0537U, place of service 22 and any diagnosis code not listed on the BRD.  Facets should adjudicate the claim with Service ID DCP7-HMO_HC",11504702,"Process a medical claim with procedure code 0537U, place of service 22 and any diagnosis code not listed on the BRD.  Facets should adjudicate the claim with Service ID DCP7-HMO_HC",Config Prod Tickets / UACT-1234_Config Ticket / Sample Folder2,,,,
,(no release),End to End,Enrollment E2E,12944445,Become a partner page,9974418,Become a partner page,MD-11 Partners pages,,,,
,(no release),End to End,Enrollment E2E,12944446,Technology Alliances page,9974417,Technology Alliances page,MD-11 Partners pages,,,,
,(no release),End to End,Enrollment E2E,12944447,Find a Partner page,9974419,Find a Partner page,MD-11 Partners pages,,,,
,(no release),End to End,Enrollment E2E,12944448,Resources page,9974420,Resources page,MD-4 Resources pages,,,,
,(no release),End to End,Enrollment E2E,12944449,Case Studies page,9974421,Case Studies page,MD-4 Resources pages,,,,
126327,Automation Release123 - 2026,,,18978427,Test Case Description,11451684,Test Case Description,Test_01,,,,
126376,Automation Release1235 - 2026,,,14665261,Test,11450227,Test,Project Test Repository / FinScan to Verysis,,,,
121857,Demo,current sprint,Story,12548088,Test Case Covers Untitled,11533708,Test Case Covers Untitled ABCDEFG,Project Test Repository,,,,
121857,Demo,current sprint,Story,12548089,Untitled,11450227,Test,Project Test Repository / FinScan to Verysis,,,,
121857,Demo,current sprint,Story,12548095,Resources page,9974420,Resources page,MD-4 Resources pages,,,,
121857,Demo,current sprint,Story,12548096,Case Studies page,9974421,Case Studies page,MD-4 Resources pages,,,,
121857,Demo,current sprint,Story,12548097,qTest Platform page,9974423,qTest Platform page,MD-3 Solutions pages,,,,
121857,Demo,current sprint,Story,12548098,Test case Management page,9974422,Test case Management page ABCD,MD-3 Solutions pages,,,,
121857,Demo,current sprint,Story,12548099,Exploratory Testing page,9974424,Exploratory Testing page,MD-3 Solutions pages,,,,
121857,Demo,current sprint,Story,12548100,Agile Testing page,9974425,Agile Testing page,MD-3 Solutions pages,,,,
118627,Fix Version,Jira Key - Feature Name,,10915355,Get Free Trial,9974426,Get Free Trial,MD-7 Common / MD-10 Free Trial,,,,
118627,Fix Version,Jira Key - Feature Name,,10915356,Request demo,9974427,Request demo,MD-7 Common / MD-10 Free Trial,,,,
118627,Fix Version,Jira Key - Feature Name,Sprint,10914350,Test Case Covers User Login,10801234,Test Case Covers User Login,Account,,,,
118627,Fix Version,Jira Key - Feature Name,Sprint,10914351,Untitled,10853162,Untitled,Account,,,,
118627,Fix Version,Jira Key - Feature Name,Sprint - Execution Type,10947195,Get Free Trial,9974426,Get Free Trial,MD-7 Common / MD-10 Free Trial,,,,
117456,New Account,New test cycle,,10837092,Test Case Covers User Login,10801234,Test Case Covers User Login,Account,,,,
121737,Provider Facets Upgrade,,Releas123,12531279,sample test case,11533705,sample test case,Provider / ART,,,,
121737,Provider Facets Upgrade,,Releas123,12531281,sample test case,11533705,sample test case,Provider / ART,,,,
121737,Provider Facets Upgrade,,Releas123,12539599,TC_1,11538313,TC_1,Availity / MHK,,,,
111478,Release 2,,Functional test suite 2,10063487,Blog page,9974416,Blog page,MD-5 Blog,,,,
111478,Release 2,,Functional test suite 2,10063485,About,9974415,About page,MD-6 Company page,,,,
111478,Release 2,,Functional test suite 2,10063483,Customers,9974414,Customers page,MD-6 Company page,,,,
111478,Release 2,Cycle 2.1,Functional test suite 1,10063500,qTest Platform page,9974423,qTest Platform page,MD-3 Solutions pages,,,,
111478,Release 2,Cycle 2.1,Functional test suite 1,10063498,Test case Management,9974422,Test case Management page ABCD,MD-3 Solutions pages,,,,
111478,Release 2,Cycle 2.1,Functional test suite 1,10063502,Exploration Testing,9974424,Exploratory Testing page,MD-3 Solutions pages,,,,
111478,Release 2,Cycle 2.1,Functional test suite 1,10063504,Agile Testing,9974425,Agile Testing page,MD-3 Solutions pages,,,,
111478,Release 2,Cycle 2.1,Functional test suite 1,10063494,Resources page,9974420,Resources page,MD-4 Resources pages,,,,
111478,Release 2,Cycle 2.1,Functional test suite 1,10063496,Case Studies page,9974421,Case Studies page,MD-4 Resources pages,,,,
111478,Release 2,Cycle 2.1,Functional test suite 1,10063490,Become a partner page,9974418,Become a partner page,MD-11 Partners pages,,,,
111478,Release 2,Cycle 2.1,Functional test suite 1,10063488,Technology Alliances,9974417,Technology Alliances page,MD-11 Partners pages,,,,
111478,Release 2,Cycle 2.1,Functional test suite 1,10063492,Find a Partner,9974419,Find a Partner page,MD-11 Partners pages,,,,
111478,Release 2,Cycle 2.2,Functional test suite 2,10063501,qTest Platform page,9974423,qTest Platform page,MD-3 Solutions pages,,,,
111478,Release 2,Cycle 2.2,Functional test suite 2,10063499,Test case Management,9974422,Test case Management page ABCD,MD-3 Solutions pages,,,,
111478,Release 2,Cycle 2.2,Functional test suite 2,10063503,Exploration Testing,9974424,Exploratory Testing page,MD-3 Solutions pages,,,,
111478,Release 2,Cycle 2.2,Functional test suite 2,10063505,Agile Testing,9974425,Agile Testing page,MD-3 Solutions pages,,,,
111478,Release 2,Cycle 2.2,Functional test suite 2,10063495,Resources page,9974420,Resources page,MD-4 Resources pages,,,,
111478,Release 2,Cycle 2.2,Functional test suite 2,10063497,Case Studies page,9974421,Case Studies page,MD-4 Resources pages,,,,
111478,Release 2,Cycle 2.2,Functional test suite 2,10063491,Become a partner page,9974418,Become a partner page,MD-11 Partners pages,,,,
111478,Release 2,Cycle 2.2,Functional test suite 2,10063489,Technology Alliances,9974417,Technology Alliances page,MD-11 Partners pages,,,,
111478,Release 2,Cycle 2.2,Functional test suite 2,10063493,Find a Partner,9974419,Find a Partner page,MD-11 Partners pages,,,,
111479,Release 3,Cycle 3.1,Functional test suite 1,10063486,Blog page,9974416,Blog page,MD-5 Blog,,,,
111479,Release 3,Cycle 3.1,Functional test suite 1,10063484,About,9974415,About page,MD-6 Company page,,,,
111479,Release 3,Cycle 3.1,Functional test suite 1,10063482,Customers,9974414,Customers page,MD-6 Company page,,,,
118724,same,,,12505503,TC001,11510274,TC001,TCST-1433,,,,
118724,same,,,13772578,Athena Validation Test,11528528,Athena Validation Test,same,,,,
127416,test_plan,,,13895278,Athena Validation Test,12286830,Athena Validation Test,DAR_Test,,,,
